year,title,description,area,source_url
500,Krig/konflikt i Sverige 500,"Gustav IV Adolf gav inte upp hoppet. Han lyckades, med Preussens hjälp, samla ihop en styrka om 17 500 man, delvis undermåligt tränade. Mot dessa stod den franska armén om 40 000 man. Den 13 juni 1807 började den svenska armén röra på sig, men i början av juli slöt Ryssland och Preussen fred med Frankrike. Den svenska styrkan tvingades därför dra sig tillbaka till Stralsund, varefter man snabbt backade till Rügen. Det franska befälet gick slutligen med på att ge svenskarna fritt avtåg. Fransmänn",Stralsund,https://sv.wikipedia.org/wiki/Sveriges_militärhistoria
500,Krig/konflikt i Sverige 500,"Göteborgs försvar rustades nu upp i snabb takt, och man utökade exempelvis Göteborgs borgerskaps militärkårer med ytterligare artilleri. Förstärkningstrupper anlände också från flera håll, så att staden snart befann sig i ganska gott försvarsskick. En stor hjälp var att man den 15 augusti hade erövrat den ryska fregatten Kilduin utanför Skagen. Detta fartyg innehöll hela 128 kanoner och 16 000 kanonkulor samt 500 gevär, något som nu kom till användning i Göteborg. Gustav III höll ett manande tal",Göteborg,https://sv.wikipedia.org/wiki/Teaterkriget
500,Krig/konflikt i Gotland 500,"Under vikingatiden blev Gotland ett av norra Europas rikaste områden. Gotlands merkantila betydelse framgår bland annat av stora fynd av utländska mynt. Av de stora ""myntvågor"", som under 800-, 900- och 1000-talen träffade Sverige, stannade en betydande del på Gotland. Totalt har cirka 170 000 silvermynt hittats på Gotland. I början av 500-talet började guldmynt i större mängd komma till Gotland. Totalt har 270 guldmynt från forntiden hittats på ön. Ön i sin helhet var ett handelscentrum, inte b",Visby,https://sv.wikipedia.org/wiki/Gotlands_historia
500,Krig/konflikt i Skåne 500,Under 3 000-talet f.Kr. gjordes för första gången slipade flintyxor i Skåne. I samband med jordbrukets början och dessa flintyxor hittas även de äldsta kända offerfynden i Skåne. Flintyxor är särskilt förekommande som offerfynd men man offrade även andra redskap och mat. Det finns belägg för att man gjorde så kallade grundläggningsoffer när man etablerade sig på en ny plats. En av de längst kontinuerligt använda offerplatserna i det förhistoriska Skåne var en mosse i närheten av Hindby. De äldst,Skåne,https://sv.wikipedia.org/wiki/Skånes_historia
500,Krig/konflikt i Halland 500,"Halland eller dess invånare omtalas första gången troligen av Jordanes under 500-talet, då Hallin sägs vara ett av fyra folkslag som med fyra andra bebodde en bördig slättbygd på ön Scandza. Med stammen fervir åsyftas möjligen invånarna i Fjäre härad.",Vara,https://sv.wikipedia.org/wiki/Hallands_historia
500,Krig/konflikt i Sverige 500,"Vid Riga lyckades inte Ryssland inta staden, trots betydande övermakt. Tvärtom led den ryska armén stora förluster och Sverige kunde även under hösten förstärka staden med sexton kompanier fotfolk och stora mängder krut. Den 5 oktober hävdes belägringen med minimala svenska förluster. I Dorpat tvingades den lilla svenska styrkan på omkring 500 man att kapitulera den 12 oktober. Fästet var nyckeln till kommunikationen mellan hamnstaden Reval i Estland (nuvarande Tallinn) och Riga samt lämnade det",Dorpat,https://sv.wikipedia.org/wiki/Karl_X_Gustavs_ryska_krig
500,Krig/konflikt i Sverige 500,"Den 21 mars 1757 slöt hattregeringen en konvention med Frankrike och Österrike. I kraft av denna förklarade Sverige och Frankrike för den tyska riksdagen, att de i enlighet med den Westfaliska freden skulle upprätthålla Tysklands frihet. Genom Frankrikes förespeglingar om subsidier lockades därefter hattregeringen att i juni samma år gå från ord till handling genom att föra över 20 000 man till Tyskland. Denna operation tog tid och exempelvis anlände till Stralsund under augusti 1757: 1000 man u",Stralsund,https://sv.wikipedia.org/wiki/Pommerska_kriget
500,Krig/konflikt i Skåne 500,"Vid slutet av den senglaciala tiden, för omkring 12 000 år sedan, började det kyliga klimatet vika undan i Skandinavien. Markvegetationen i Skåne växte sig högre och glesa skogar började sprida sig genom landskapet. Först bestod träden för det mesta av björk och tall men från och med för runt 8 000 år sedan växte det i Skåne också al, alm, ask och lind och naturen började likna den som finns idag. Den nya naturen gav upphov till förändringar i livsstil för människorna som bodde där, i synnerhet",Skåne,https://sv.wikipedia.org/wiki/Skånes_historia
500,Krig/konflikt i Ukraina 500,"Den 29 juni inleddes uppstädningen av slagfältet och sex ryska officerare fick uppgiften att räkna samman förlusterna. Förlusterna för den ryska armén uppgick till 1 345 i antalet stupade och 3 290 i antalet sårade, totalt 4 635. Ryssarnas förluster var förhållandevis små eftersom de hade utkämpat slaget från försvarsställningar och att de ryska soldaterna hade ett överflöd av ammunition, eldvapen och kanoner, vars samlade eldkraft vräkte oerhörda förluster inom den svenska huvudstyrkan. Enligt",Peter,https://sv.wikipedia.org/wiki/Slaget_vid_Poltava
500,Krig/konflikt i Sverige 500,"Under 1274 blev krisen akut för kung Valdemar och han vidtog motåtgärder för att hindra Magnus maktövertagande. Av ett brev från 22 augusti 1274 framgår att Magnus nu flyttat fram positionerna till den grad att även hans sigill dyker upp under brev som normalt skulle sigillerats endast av kungen. Av de påvebrev från 9 januari 1275 som Valdemar utverkat framgår att ett inbördeskrig var nära förestående. Enligt breven har ""oroselement"" inom riket satt upp Valdemars bror Magnus som motkonung, en ""r",Hova,https://sv.wikipedia.org/wiki/Magnus_Ladulås
